label,content,source,author,time
F,Coronavirus was created in a government lab as a bioweapon and then released on the people of China,,,
F,"The lie that coronavirus came from a bat or a pangolin is concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries",,,
F,The health experts had predicted the virus could kill 65 million people in a year,,,
F,"A video clip supposedly showed that the exponential spread of a new coronavirus faster than SARS, Ebola, and Swine Flu",,,
T,"Almost 200 people in Italy died from the coronavirus in a 24-hour period between March 11 and 12, 2020",,,
T,"A doctor in Italy warned coronavirus wasn’t just a bad flu. And he said: ""The situation is now nothing short of dramatic. No other words come to mind.""",,,
F,Chinese doctors confirmed African people are genetically resistant to Coronavirus,,,
F,"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead",,,
U,"Contaminated money can spread the new coronavirus. The World Health Organization has advised people to ""wash their hands after handling banknotes.""",,,
U,"Warm weather will kill coronavirus. U.S. President Donald Trump said he hoped the virus would go away in April 2020 because the ""heat generally speaking kills this kind of virus.""",,,
F,"A viral social media post advised the public to ""keep your throat moist"" in order to avoid contracting the respiratory infection",,,
F,Japanese doctors advice that taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs,,,
F,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection",,,
F,A homemade hand sanitizer made with Tito's Vodka can be used to fight the new coronavirus,,,
F,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread,,,
F,A coronavirus-related health advisory graphic issued by the World Health Organization warned against unprotected sex with farm animals,,,
F,Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system,,,
F,Drinking boiled garlic water will cure COVID-19,,,
U,Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections,,,
U,People who have survived the COVID-19 coronavirus disease can become reinfected by the virus,,,
T,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases,,,
T,The Chinese government is building a hospital in 10 days to deal with the new coronavirus,,,
F,"A video shows a chaotic scene in Wuhan, China, involving doctors armed with weapons, gunshots to deter people from leaving a new coronavirus quarantine, and a woman who was shot dead after she attempted to break through a roadblock",,,
F,"A People's Daily video claiming to show ""full-front disinfection work"" in Wuhan included footage taken at an airport in Taiwan",,,
F,"Chinese officials are seeking approval to start the mass killing of 20,000 people in order to stop the spread of new coronavirus",,,
F,"Satellite data show a large release of sulfur dioxide gas from the outskirts of Wuhan, China, and could be viewed as evidence of the mass cremation of new coronavirus victims",,,
U,"Italy has stopped treating elderly coronavirus patients due to ""socialized medicine.""",,,
U,"U.S. President Donald Trump referred to the new coronavirus as a ""hoax.""",,,
T,The Trump administration fired the U.S. pandemic response team in 2018 to cut costs,,,
U,U.S. President Donald Trump cut funding for the Centers for Disease Control and Prevention (CDC),,,
F,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so that Democrats could run negative ads about Republicans that made the latter look bad,,,
U,Disagreement over abortion will slow coronavirus-relief talks,,,
T,"U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families",,,
F,U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch’,,,
F,"U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu, the H1N1 virus",,,
T,14 People with coronavirus took on a plane to US with uninfected passengers,,,
F,Donald Trump owned stock in Thermo-Fisher Scientific at a time when his presidential administration was advocating for a COVID-19 test that uses Thermo-Fisher equipment,,,
T,"Denver councilwoman Candi CdeBaca tweeted ""#solidarity"" in response to a post suggesting that, if infected with new coronavirus, a person would attend as many Trump rallies as possible",,,
F,"The White House sent out text messages in mid-March 2020 informing people that a ""mandatory quarantine"" in U.S. would start within 48 hours",,,
T,"Congress has passed a US$8.3 billion coronavirus response bill, which includes $2.2 billion for the CDC to “prevent, prepare for, and respond to coronavirus, domestically or internationally.”",,,
T,New York Governor Andrew Cuomo called the federal government’s response to the coronavirus outbreak “absurd and nonsensical.”,,,
F,"If you get sick with coronavirus, Donald Trump can make you stay home",,,
T,"If you get sick with coronavirus, an U.S. government official in your community can make you stay home",,,
U,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus,,,
F,A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon,,,
F,"A major disease outbreak occurred in ""every election year"" since 2004",,,
F,"The fictional ""Umbrella Corporation"" from the game ""Resident Evil"" shares a logo with a biotech lab in Wuhan, Hubei Province in China, where a new coronavirus is believed to have originated",,,
F,A photograph shows a railroad tank car identified as carrying 'COVID-19.',,,
F,A traveler from Beijing was caught at Dulles International Airport with a suitcase full of dead birds that the person tried to disguise as pet food,,,
F,A Nostradamus prophecy foretells the 2020 COVID-19 coronavirus disease pandemic,,,
F,"Self-described psychic Sylvia Browne ""predicted"" a 2020 outbreak of the new coronavirus",,,
F,"Author Dean Koontz predicted the 2020 new coronavirus outbreak in his 1981 novel ""The Eyes of Darkness.""",,,
F,"""The Simpsons"" TV show predicted the 2020 new coronavirus outbreak in a 1993 episode",,,
T,"Dr. Abdu Sharkawy, an infectious diseases specialist, penned a viral Facebook post warning about the loss of reason in the face of panic over the new coronavirus in 2020",,,
F,"The ability to differentiate the “common cold” from “coronavirus pneumonia”, interpreted here as COVID-19 is based on the presence or absence of mucus or phlegm, which is also known as sputum, during coughing",,,
U,The coronavirus is “heat resistant”,,,
F,Coronaviruses will die at the first exposure to sun,,,
